полный_адрес;улица;номер_дома;год_постройки;этажность;материал_стен;планировка
Муканова, 68;Муканова;68;1985;5;к;нов
Муканова, 72;Муканова;72;1984;5;к;нов
Муканова, 91;Муканова;91;1988;5;к;
Мусрепова, 10;Мусрепова;10;1968;5;п;
Мусрепова, 11;Мусрепова;11;1969;5;п;ст
Мусрепова, 11А;Мусрепова;11А;2023;5;к;
Мусрепова, 11В;Мусрепова;11В;2023;5;к;
Мусрепова, 11а;Мусрепова;11а;1967;5;п;
Мусрепова, 11в;Мусрепова;11в;2023;5;к;
Мусрепова, 12;Мусрепова;12;1956;2;к;
Мусрепова, 13А;Мусрепова;13А;1982;5;к;
Мусрепова, 13а;Мусрепова;13а;1992;5;к;
Мусрепова, 14;Мусрепова;14;1967;5;п;
Мусрепова, 16;Мусрепова;16;1967;5;п;
Мусрепова, 16А;Мусрепова;16А;1969;5;п;
Мусрепова, 16а;Мусрепова;16а;1967;5;п;
Мусрепова, 18;Мусрепова;18;1970;5;п;ул
Мусрепова, 18А;Мусрепова;18А;1974;5;п;
Мусрепова, 18а;Мусрепова;18а;1967;5;п;
Мусрепова, 2;Мусрепова;2;1964;5;к/п;ст
Мусрепова, 20;Мусрепова;20;1967;5;п;ст
Мусрепова, 3;Мусрепова;3;1967;5;п;
Мусрепова, 339;Мусрепова;339;1982;5;к;
Мусрепова, 4;Мусрепова;4;1964;5;к/п;
Мусрепова, 4А;Мусрепова;4А;1970;2;к;
Мусрепова, 4а;Мусрепова;4а;1970;2;к;
Мусрепова, 5;Мусрепова;5;1973;5;п;
Мусрепова, 6;Мусрепова;6;1964;5;к;
Мусрепова, 7;Мусрепова;7;1973;5;п;ст
Мусрепова, 8;Мусрепова;8;1976;5;п;
Мусрепова, 8А;Мусрепова;8А;1970;5;п;
Мусрепова, 8а;Мусрепова;8а;1970;5;п;
Мусрепова, 9;Мусрепова;9;1973;5;п;
Мусрепова, 96;Мусрепова;96;1973;5;п;
Мусрепова, 9А;Мусрепова;9А;;5;п;ул
Мусрепова, 9Б;Мусрепова;9Б;1973;5;п;ул
Мусрепова, 9а;Мусрепова;9а;1973;5;п;
Мусрепова, 9б;Мусрепова;9б;1973;5;п;
Мусрепова, 9в;Мусрепова;9в;1973;5;п;
Мухамед-Рахима, 37;Мухамед-Рахима;37;;5;п;ст
Мухамеда Рахимова, 50;Мухамеда Рахимова;50;1965;5;к;
Мухтара Ауэзова, 184;Мухтара Ауэзова;184;1987;5;п;
Набережная, 19;Набережная;19;1989;10;п;
Набережная, 20;Набережная;20;2025;5;к;
Набережная, 23;Набережная;23;2024;9;к;
Набережная, 23а;Набережная;23а;2024;5;;
Набережная, 25;Набережная;25;1992;10;п;
Набережная, 25/2;Набережная;25/2;2023;3;к;
Набережная, 25Б;Набережная;25Б;2022;3;к;
Набережная, 25б;Набережная;25б;2022;3;к;
Набережная, 2а;Набережная;2а;1971;5;п;
Набережная, 2б;Набережная;2б;2024;5;к;
Набережная, 35;Набережная;35;1968;5;к;
Набережная-Шухова, новые;Набережная-Шухова;новые;2025;;к;нов
Назарбаев, 138;Назарбаев;138;1986;5;к;
Назарбаев, 207;Назарбаев;207;2022;5;к;
Назарбаева, 107;Назарбаева;107;1966;5;;
Назарбаева, 109;Назарбаева;109;1974;5;п;
Назарбаева, 110;Назарбаева;110;1973;5;к;
Назарбаева, 111;Назарбаева;111;1972;5;п;
Назарбаева, 117;Назарбаева;117;1986;5;п;
Назарбаева, 119;Назарбаева;119;1981;5;п;
Назарбаева, 121;Назарбаева;121;1985;5;п;
Назарбаева, 123;Назарбаева;123;1987;9;п;
Назарбаева, 124;Назарбаева;124;1980;5;п;
Назарбаева, 125;Назарбаева;125;1980;5;п;
Назарбаева, 126;Назарбаева;126;1969;5;п;
Назарбаева, 127;Назарбаева;127;1977;5;п;
Назарбаева, 129;Назарбаева;129;1978;5;п;ул
Назарбаева, 130;Назарбаева;130;1975;5;п;ст
Назарбаева, 131;Назарбаева;131;1978;5;п;
Назарбаева, 131/44;Назарбаева;131/44;1978;5;п;
Назарбаева, 132;Назарбаева;132;1975;5;п;
Назарбаева, 133;Назарбаева;133;2022;5;к;
Назарбаева, 134;Назарбаева;134;1975;5;п;
Назарбаева, 136;Назарбаева;136;1984;9;п;
Назарбаева, 138;Назарбаева;138;1990;5;к;
Назарбаева, 154;Назарбаева;154;1980;9;п;
Назарбаева, 156;Назарбаева;156;1979;5;п;
Назарбаева, 156а;Назарбаева;156а;1993;5;к;
Назарбаева, 158;Назарбаева;158;1981;9;п;
Назарбаева, 159;Назарбаева;159;1989;6;к;
Назарбаева, 161;Назарбаева;161;1998;6;к;
Назарбаева, 163;Назарбаева;163;1989;5;к;
Назарбаева, 179;Назарбаева;179;1976;2;к;
Назарбаева, 183;Назарбаева;183;1969;5;к;
Назарбаева, 185;Назарбаева;185;2018;9;к;
Назарбаева, 185а;Назарбаева;185а;2019;9;к;
Назарбаева, 187;Назарбаева;187;1970;5;к;
Назарбаева, 189;Назарбаева;189;1967;5;п;
Назарбаева, 191;Назарбаева;191;1970;5;п;
Назарбаева, 193;Назарбаева;193;1967;5;п;
Назарбаева, 197;Назарбаева;197;1971;5;п;
Назарбаева, 199;Назарбаева;199;1978;5;п;
Назарбаева, 201;Назарбаева;201;1970;5;к;
Назарбаева, 203;Назарбаева;203;1968;5;к;
Назарбаева, 205;Назарбаева;205;1965;5;п;
Назарбаева, 207Б;Назарбаева;207Б;2022;5;к;
Назарбаева, 207б;Назарбаева;207б;2022;5;к;
Назарбаева, 209;Назарбаева;209;1967;5;п;
Назарбаева, 211;Назарбаева;211;1967;5;п;
Назарбаева, 213;Назарбаева;213;1985;4;к;
Назарбаева, 218;Назарбаева;218;1993;10;п;
Назарбаева, 219;Назарбаева;219;1979;5;к;
Назарбаева, 221;Назарбаева;221;1980;5;к;
Назарбаева, 223;Назарбаева;223;1974;5;к;
Назарбаева, 223А;Назарбаева;223А;2018;2;п;нов
Назарбаева, 223а;Назарбаева;223а;2018;3;п;
Назарбаева, 225;Назарбаева;225;1974;5;;
Назарбаева, 227;Назарбаева;227;2012;11;к;
Назарбаева, 227а;Назарбаева;227а;2011;9;;
Назарбаева, 229;Назарбаева;229;1976;10;к;
Назарбаева, 231;Назарбаева;231;2024;9;п;
Назарбаева, 232;Назарбаева;232;1975;5;п;
Назарбаева, 234;Назарбаева;234;1977;5;п;
Назарбаева, 238;Назарбаева;238;1973;5;п;ул
Назарбаева, 240;Назарбаева;240;1973;5;п;
Назарбаева, 244;Назарбаева;244;1968;5;п;
Назарбаева, 246;Назарбаева;246;1972;5;к;
Назарбаева, 248;Назарбаева;248;1969;5;п;
Назарбаева, 258;Назарбаева;258;1965;5;п;
Назарбаева, 264;Назарбаева;264;1980;5;п;
Назарбаева, 266;Назарбаева;266;1971;5;п;
Назарбаева, 268;Назарбаева;268;1971;5;п;
Назарбаева, 269;Назарбаева;269;1963;5;п;
Назарбаева, 27;Назарбаева;27;1976;5;п;
Назарбаева, 270;Назарбаева;270;1971;5;п;
Назарбаева, 276б;Назарбаева;276б;2022;5;к;
Назарбаева, 278;Назарбаева;278;1975;5;к;
Назарбаева, 280;Назарбаева;280;1974;5;п;
Назарбаева, 284;Назарбаева;284;1973;5;б;
Назарбаева, 284А;Назарбаева;284А;1991;5;к;
Назарбаева, 286;Назарбаева;286;1983;5;к;
Назарбаева, 288;Назарбаева;288;1980;5;п;
Назарбаева, 288/3;Назарбаева;288/3;2024;9;к;
Назарбаева, 288В;Назарбаева;288В;2024;9;к;
Назарбаева, 288а;Назарбаева;288а;2014;5;к;
Назарбаева, 288к2;Назарбаева;288к2;1987;5;п;
Назарбаева, 290;Назарбаева;290;1987;5;п;
Назарбаева, 290/1;Назарбаева;290/1;2020;7;к;
Назарбаева, 292;Назарбаева;292;1987;9;п;
Назарбаева, 294;Назарбаева;294;1987;9;п;
Назарбаева, 327;Назарбаева;327;1983;5;к;
Назарбаева, 327А;Назарбаева;327А;1986;5;к;
Назарбаева, 327Б;Назарбаева;327Б;1996;5;к;
Назарбаева, 327а;Назарбаева;327а;1989;5;к;
Назарбаева, 339;Назарбаева;339;1983;5;к;
Назарбаева, 339а;Назарбаева;339а;1988;5;к;
Назарбаева, 341;Назарбаева;341;1987;5;к;
Назарбаева, 345;Назарбаева;345;1986;5;к;
Назарбаева, 347;Назарбаева;347;1986;5;к;
Назарбаева, 349;Назарбаева;349;1987;5;к;
Назарбаева, 351;Назарбаева;351;1989;5;к;
Назарбаева, 73;Назарбаева;73;1977;5;п;
Назарбаева, 75;Назарбаева;75;1984;5;к;
Назарбаева, 87;Назарбаева;87;1980;5;к;
Назарбаева, 90;Назарбаева;90;1966;3;к;
Невского, 3;Невского;3;1951;2;ш/б;
Невского, 5;Невского;5;1956;2;ш/б;
Невского, 6;Невского;6;1994;1;д;
Некрасова, 1;Некрасова;1;1997;5;к;нов
Некрасова, 34;Некрасова;34;1985;5;к;
Нелля Болатбаева, 4;Нелля Болатбаева;4;1989;6;п;
Новаторная, 1;Новаторная;1;1974;5;п;ул
Новаторная, 10;Новаторная;10;2025;5;к;
Новаторная, 10А;Новаторная;10А;;5;к;нов
Новаторная, 10а;Новаторная;10а;2022;5;к;
Новаторная, 12;Новаторная;12;2024;5;к;
Новаторная, 2;Новаторная;2;2024;5;к;
Новаторная, 3;Новаторная;3;2024;5;к;
Новая, 108;Новая;108;1967;5;п;ст
Новая, 110;Новая;110;1965;5;п;ул
Новая, 112;Новая;112;1966;5;п;ст
Новая, 120;Новая;120;1966;5;п;ст
Новая, 122;Новая;122;1966;5;п;ст
Новая, 124;Новая;124;1965;5;п;
Новая, 70;Новая;70;1962;3;;
Новая, 71;Новая;71;1967;5;п;
Новая, 73;Новая;73;1962;3;к;
Новая, 75;Новая;75;1962;3;к;
Новая, 77;Новая;77;1962;2;к;
Новая, 79;Новая;79;1962;3;к;
Новая, 81;Новая;81;1962;3;к;
Новая, 83;Новая;83;1962;4;к;ст
Нурсултана Назарбаева, 109;Нурсултана Назарбаева;109;1972;5;п;
Нурсултана Назарбаева, 123;Нурсултана Назарбаева;123;1987;9;п;
Нурсултана Назарбаева, 124;Нурсултана Назарбаева;124;1980;5;п;
Нурсултана Назарбаева, 133;Нурсултана Назарбаева;133;2023;5;к;
Нурсултана Назарбаева, 138;Нурсултана Назарбаева;138;1986;5;к;
Нурсултана Назарбаева, 199;Нурсултана Назарбаева;199;1983;5;п;
Нурсултана Назарбаева, 213;Нурсултана Назарбаева;213;1965;4;к;
Нурсултана Назарбаева, 225;Нурсултана Назарбаева;225;1974;5;к;
Нурсултана Назарбаева, 227А;Нурсултана Назарбаева;227А;2016;9;к;нов
Нурсултана Назарбаева, 244;Нурсултана Назарбаева;244;1968;5;п;
Нурсултана Назарбаева, 290;Нурсултана Назарбаева;290;1995;5;п;
Нурсултана Назарбаева, 292;Нурсултана Назарбаева;292;1987;9;п;
Нурсултана Назарбаева, 327;Нурсултана Назарбаева;327;1983;5;к;
Орман, 11А;Орман;11А;2022;3;к;нов
Осипенко, 20;Осипенко;20;1992;5;к;
Осипенко, 28;Осипенко;28;1983;5;к;
Осипенко, 3;Осипенко;3;1962;2;к;
Осипенко, 30;Осипенко;30;1982;5;к;
Осипенко, 40;Осипенко;40;1978;5;к;
Осипенко, 40а;Осипенко;40а;1996;6;к;
Осипенко, 46;Осипенко;46;1983;5;к;
Островского, 114;Островского;114;1982;4;к;
Островского, 14;Островского;14;1997;5;к;
Островского, 144;Островского;144;1982;4;к;
Островского, 147;Островского;147;1996/83;5;к;нов
Островского, 149;Островского;149;1997;5;к;нов
Островского, 153;Островского;153;1961;2;ш/б;
Островского, 155;Островского;155;1961;2;к;
Островского, 157;Островского;157;1962;3;п;
Островского, 4;Островского;4;1959;1;к;
Островского, 56;Островского;56;1937;2;д;
Островского, 58а;Островского;58а;1937;2;бр;
Островского, 60;Островского;60;1937;2;к;
Островского, 66;Островского;66;1937;2;;
Островского, 82;Островского;82;1993;7;к;нов
Островского, 84;Островского;84;1989;5;к;
Островского, 84А;Островского;84А;1987;5;к;
Островского, 84а;Островского;84а;1985;5;к;
Панфилова, 258;Панфилова;258;1962;2;к;
Парковая, 104;Парковая;104;1989;5;к;
Парковая, 117;Парковая;117;1973;5;п;
Парковая, 119;Парковая;119;1986;3;к;
Парковая, 121;Парковая;121;1992;5;к;
Парковая, 126;Парковая;126;1976;5;к;
Парковая, 130;Парковая;130;1967;3;к;
Парковая, 137;Парковая;137;1970;3;к;
Парковая, 140;Парковая;140;1957;2;ш/б;
Парковая, 145;Парковая;145;1973;3;к;нов
Парковая, 161;Парковая;161;1986;9;п;гост
Парковая, 161/2;Парковая;161/2;1989;9;п;
Парковая, 161к1;Парковая;161к1;1989;9;п;
Парковая, 161к2;Парковая;161к2;1989;9;п;
Парковая, 181;Парковая;181;1981;5;п;
Парковая, 187;Парковая;187;1982;5;п;нов
Парковая, 21;Парковая;21;2023;9;к;
Парковая, 53;Парковая;53;1980;5;п;
Парковая, 60;Парковая;60;1951;2;к/з;
Парковая, 62;Парковая;62;1951;2;к/з;
Партизан-я, 156;Партизан-я;156;1976;2;к;
Партизан-я, 158;Партизан-я;158;1976;2;к;
Партизан-я, 158а;Партизан-я;158а;1984;3;к;
Партизан-я, 158б;Партизан-я;158б;1989;4;к;
Партизан-я, 185;Партизан-я;185;1987;5;к;
Партизан-я, 44;Партизан-я;44;1987;5;к;
Партизанская, 12;Партизанская;12;1990;5;к;нов
Партизанская, 13;Партизанская;13;1990;5;к;
Партизанская, 158;Партизанская;158;2024;9;к;
Партизанская, 158/2;Партизанская;158/2;2024;9;к;
Партизанская, 158Б;Партизанская;158Б;2024;9;к;
Партизанская, 158б;Партизанская;158б;1994;4;к;
Партизанская, 185;Партизанская;185;1999;5;п;
Партизанская, 44;Партизанская;44;1990;5;к;
Парфирьева, 53;Парфирьева;53;2020;9;к;
Парфирьева, 60;Парфирьева;60;2022;9;к;
Пархоменко, 11;Пархоменко;11;1990;9;к;
Пархоменко, 26;Пархоменко;26;1985;;п;
Пархоменко, 3;Пархоменко;3;1987;9;к;
Пархоменко, 30;Пархоменко;30;1984;5;к;
Пархоменко, 32;Пархоменко;32;1995;9;к;
Пархоменко, 58;Пархоменко;58;1985;;к;
Пархоменко, 61;Пархоменко;61;1983;5;к;
Пархоменко, 63;Пархоменко;63;1983;5;к;
Пархоменко, 65;Пархоменко;65;1983;5;к;
Пархоменко, 66;Пархоменко;66;1984;5;к;
Пархоменко, 67;Пархоменко;67;1991;5;к;
Пархоменко, 69;Пархоменко;69;;5;к;
Пархоменко, 7;Пархоменко;7;1995;9;п;
Пархоменко, 9;Пархоменко;9;1992;6;к;
Первомай-я, 120;Первомай-я;120;1992;5;к;
Первомай-я, 122;Первомай-я;122;1991;5;п;
Первомай-я, 124;Первомай-я;124;1993;6;к;
Первомай-я, 126;Первомай-я;126;1991;5;п;
Первомай-я, 69;Первомай-я;69;1968;2;к;
Первомай-я, 70;Первомай-я;70;1979;5;к/б;
Первомай-я, 73;Первомай-я;73;1918;2;бр;
Первомайская, 63;Первомайская;63;1962;2;к;
Переулок Ватутина, 8;Переулок Ватутина;8;1960;1;;ст
Переулок Пионерский, 32;Переулок Пионерский;32;1961;2;к;
Переулок Садовый, 3;Переулок Садовый;3;1960;2;к;
Переулок Садовый, 5;Переулок Садовый;5;1960;2;;
Петрова, 15;Петрова;15;1975;2;п;
Пионер-я, 20;Пионер-я;20;1991;6;к;
Пионер-я, 32;Пионер-я;32;1957;2;к;
Пионерская, 20;Пионерская;20;1992;6;к;
Победы, 14;Победы;14;1987;5;к;нов
Победы, 3;Победы;3;1988;5;п;
Победы, 3А;Победы;3А;1989;5;п;
Победы, 3а;Победы;3а;1989;5;п;
Победы, 4;Победы;4;1997;5;к;
Победы, 4Б;Победы;4Б;2013;5;к;
Победы, 6;Победы;6;1990;5;п;
Победы, 7;Победы;7;1986;5;п;
Победы, 8;Победы;8;1995;5;к;
Победы, 8а;Победы;8а;1989;5;к;
Позолотина, 56;Позолотина;56;1981;5;п;
Позолотина, 79;Позолотина;79;1997;9;п;
Попова, 42;Попова;42;1985;9;п;
Попова, 45;Попова;45;1961;3;к;
Попова, 47;Попова;47;1980;9;п;
Порфирьева, 53;Порфирьева;53;2020;9;к;
Порфирьева, 60;Порфирьева;60;2022;9;к;
Правды, 120;Правды;120;1993;5;к;нов
Проезд 5-Сенной, 18л;Проезд 5-Сенной;18л;2017;5;п;
Проезд 5-й Сенной, 18Л;Проезд 5-й Сенной;18Л;2018;5;п;
Проезд 5-й Сенной, 18е;Проезд 5-й Сенной;18е;2018;5;п;
Проезд 5-й Сенной, 18к;Проезд 5-й Сенной;18к;2019;5;п;
Проезд 5-я Сенная, 18Е;Проезд 5-я Сенная;18Е;2016;5;п;
Проезд 5-я Сенная, 18а;Проезд 5-я Сенная;18а;2019;5;п;
Проезд 5-я Сенная, 18л;Проезд 5-я Сенная;18л;2018;5;п;
Проезд 5-я Сенная, 20;Проезд 5-я Сенная;20;2020;5;п;
Проезд Ахременко, 3;Проезд Ахременко;3;1969;5;к;
Проезд Аягана Шажимбаева, 15;Проезд Аягана Шажимбаева;15;1995;10;п;
Проезд Джамбула, 1г;Проезд Джамбула;1г;1998;9;п;
Проезд Жамбыла, 1;Проезд Жамбыла;1;2020;3;п;
Проезд Жамбыла, 1/1;Проезд Жамбыла;1/1;2020;3;п;
Проезд Жамбыла, 1А;Проезд Жамбыла;1А;1992;10;п;
Проезд Жамбыла, 1Г;Проезд Жамбыла;1Г;1994;10;п;
Проезд Жамбыла, 1а;Проезд Жамбыла;1а;1992;10;п;
Проезд Жамбыла, 1б;Проезд Жамбыла;1б;1995;9;п;
Проезд Жамбыла, 5;Проезд Жамбыла;5;2020;18;п;
Проезд Труда, 5;Проезд Труда;5;1960;2;к;
Проезд Шажимбаева, 15;Проезд Шажимбаева;15;1990;10;п;
Проезд имени Жамбыла, 1/1;Проезд имени Жамбыла;1/1;2020;3;п;
Пугачева, 230;Пугачева;230;1947;2;к;ст
Пугачева, 236;Пугачева;236;1961;3;п;ст
Пугачева, 238;Пугачева;238;1938;2;к;
Пугачева, 240;Пугачева;240;1938;2;к;
Пугачева, 242;Пугачева;242;1961;3;к;ст
Пугачева, 244;Пугачева;244;1958;2;к;
Пушкина, 101;Пушкина;101;1989;5;к;
Пушкина, 103;Пушкина;103;1982;5;п;
Пушкина, 114;Пушкина;114;2008;9;к;
Пушкина, 43;Пушкина;43;1986;5;к;
Пушкина, 57;Пушкина;57;1984;5;к;
Пушкина, 64;Пушкина;64;1993;5;к;
Пушкина, 67;Пушкина;67;1986;5;к;
Пушкина, 76;Пушкина;76;1968;3;к;ул
Пушкина, 82;Пушкина;82;1962;4;к;
Рабочая, 18;Рабочая;18;;5;;
Радищева, 20а;Радищева;20а;1989;3;п;
Радищева, 22;Радищева;22;1962;2;к;
Радищева, 22а;Радищева;22а;1987;2;к;
Радищева, 24;Радищева;24;1963;2;к;ул
Радищева, 25;Радищева;25;1973;2;к;ул
Радищева, 28;Радищева;28;1989;2;к;
Радищева, 29;Радищева;29;1966;2;к;
Радищева, 30;Радищева;30;1992;4;к;
Радищева, 33;Радищева;33;1993;4;к;
Радищева, 33а;Радищева;33а;2015;5;к;
Рахимова, 29;Рахимова;29;;5;п;
Рахимова, 31;Рахимова;31;;5;к;
Рахимова, 33;Рахимова;33;1974;5;к;ул
Рахимова, 35;Рахимова;35;1968;5;к;
Рахимова, 37;Рахимова;37;1968;5;п;
Рахимова, 48;Рахимова;48;1965;5;к;
Рахимова, 50;Рахимова;50;1965;5;к;
Рахимова, 52;Рахимова;52;1967;5;к;
Рахимова, 58;Рахимова;58;2025;9;к;
Рахимова, 66;Рахимова;66;1960;2;п;ст
Рахимова, 72;Рахимова;72;1960;2;к;
Рижская, 1;Рижская;1;1962;4;п;ст
Рижская, 104;Рижская;104;1975;5;п;
Рижская, 106;Рижская;106;1973;5;к;
Рижская, 108;Рижская;108;1974;5;к;
Рижская, 110;Рижская;110;1968;5;к;
Рижская, 112;Рижская;112;1968;5;п;
Рижская, 121;Рижская;121;1965;;;
Рижская, 123;Рижская;123;1965;5;к;
Рижская, 125;Рижская;125;1967;5;к;
Рижская, 133;Рижская;133;1958;2;к;
Рижская, 135;Рижская;135;1959;2;шл;
Рижская, 137;Рижская;137;1958;2;к;
Рижская, 139;Рижская;139;1958;2;к;
Рижская, 141;Рижская;141;;;;
Рижская, 143;Рижская;143;1958;2;шл;
Рижская, 145;Рижская;145;1958;2;шл;
Рижская, 1д;Рижская;1д;1966;5;к;
Рижская, 2;Рижская;2;1980;5;к;ул
Рижская, 22;Рижская;22;1971;5;к;ул
Рижская, 3;Рижская;3;1963;4;п;ст
Рижская, 30;Рижская;30;1962;4;к;
Рижская, 3а;Рижская;3а;1959;2;шл;
Рижская, 5;Рижская;5;1963;4;п;
Рижская, 7;Рижская;7;1953;4;п;
Рижская, 9;Рижская;9;1962;4;п;
Ружейникова, 10;Ружейникова;10;1951;2;к;
Ружейникова, 12;Ружейникова;12;1946;2;к;
Ружейникова, 14;Ружейникова;14;1947;2;к;
Ружейникова, 15;Ружейникова;15;1951;2;к;
Ружейникова, 8;Ружейникова;8;1951;2;к;
Ружейникова, 9;Ружейникова;9;1950;2;к;
Ружейникова, 95;Ружейникова;95;1968;3;к;
